PCD,Pr,CMA,PwMode,distribution,est_1,est_2
3518,Ontario,535,Bike,unif,0,52.51
3518,Ontario,535,Car/motor,unif,0,66.3
3518,Ontario,535,Transit,unif,0,109.91
3518,Ontario,535,Walk,unif,0,36.67
3519,Ontario,535,Bike,unif,0,58.17
3519,Ontario,535,Car/motor,unif,0,61.65
3519,Ontario,535,Transit,unif,0,104.15
3519,Ontario,535,Walk,unif,0,33.27
3520,Ontario,535,Bike,unif,0,52.49
3520,Ontario,535,Car/motor,unif,0,57.73
3520,Ontario,535,Transit,unif,0,87.44
3520,Ontario,535,Walk,unif,0,39.19
3521,Ontario,535,Bike,unif,0,56.79
3521,Ontario,535,Car/motor,unif,0,57.45
3521,Ontario,535,Transit,unif,0,99.26
3521,Ontario,535,Walk,unif,0,38.75
3524,Ontario,535,Bike,unif,0,39.46
3524,Ontario,535,Car/motor,unif,0,58.03
3524,Ontario,535,Transit,unif,0,99.35
3524,Ontario,535,Walk,unif,0,42.23
3525,Ontario,537,Bike,unif,0,55.61
3525,Ontario,537,Car/motor,unif,0,56.47
3525,Ontario,537,Transit,unif,0,88.16
3525,Ontario,537,Walk,unif,0,38.28
